movie_name,articles,last_updated
Gladiator II,"[{""title"": ""\u2018Gladiator II\u2019 Cinematographer Denies Criticizing Ridley Scott as \u2018Lazy\u2019"", ""url"": ""https://petapixel.com/2024/12/04/gladiator-ii-cinematographer-john-mathieson-denies-criticizing-ridley-scott-director-as-lazy/"", ""description"": ""The Gladiator II cinematographer has attempted to walk back his comments accusing the movie\u2019s director Ridley Scott of becoming \u201clazy\u201d -- saying that his criticism was taken out of context.\n[Read More]"", ""publishedAt"": ""2024-12-04""}, {""title"": ""'We Certainly Didn\u2019t Want To Be A Pale Imitation': Gladiator II's Creators On The One Big Goal With Making A Sequel, And How The Story Came About"", ""url"": ""https://www.cinemablend.com/movies/gladiator-2-creators-one-big-goal-making-sequel-how-story-came-about"", ""description"": ""What we do in our careers echoes in development."", ""publishedAt"": ""2024-12-03""}, {""title"": ""GLADIATOR II Producer Explains Why MOON KNIGHT Star May\u00a0Calamawy Was Cut From Ridley Scott's Sequel"", ""url"": ""https://comicbookmovie.com/action/gladiator-ii-producer-explains-why-moon-knight-star-maycalamawy-was-cut-from-ridley-scotts-sequel-a214847"", ""description"": ""Much has been said about Sir Ridley Scott's decision to cut Moon Knight star May\u00a0Calamawy from the sequel, and a producer has now weighed in on that and whether a Russell Crowe return was considered."", ""publishedAt"": ""2024-12-03""}]",2024-12-05 11:45:25.815345
Blitz,"[{""title"": ""Watch \u2018Blitz\u2019 Director Steve McQueen and Composer Hans Zimmer Discuss Their Boldest Collaboration Yet"", ""url"": ""https://www.indiewire.com/features/craft/blitz-director-steve-mcqueen-composer-hans-zimmer-score-1235071794/"", ""description"": ""Watch the longtime collaborators discuss their latest film (now streaming on Apple TV+) in an exclusive video."", ""publishedAt"": ""2024-12-04""}, {""title"": ""In Steve McQueen\u2019s Blitz, We\u2019re Going Underground, Going Underground"", ""url"": ""https://slate.com/podcasts/culture-gabfest/2024/12/blitz-is-dividing-critics-we-discuss-steve-mcqueens-latest-film"", ""description"": ""Debating McQueen\u2019s latest."", ""publishedAt"": ""2024-12-04""}]",2024-12-05 11:45:26.050430
Challengers,"[{""title"": ""'Challengers': Trent Reznor & Atticus Ross on Creating Score"", ""url"": ""http://www.hollywoodreporter.com/movies/movie-features/challengers-trent-reznor-atticus-ross-score-1236071769/"", ""description"": ""A lot of people wouldn't have predicted the Nine Inch Nails pioneer\u2019s mid-career reinvention including him."", ""publishedAt"": ""2024-12-03""}, {""title"": ""Challengers director Luca Guadagnino says he wishes he'd made a Spider-Man movie with Andrew Garfield"", ""url"": ""https://www.gamesradar.com/entertainment/superhero-movies/challengers-director-luca-guadagnino-says-he-wishes-hed-made-a-spider-man-movie-with-andrew-garfield/"", ""description"": ""\""I had these dreams because I\u2019m kind of a megalomaniac\"""", ""publishedAt"": ""2024-12-03""}]",2024-12-05 11:45:26.507183
A Complete Unknown,"[{""title"": ""Timoth\u00e9e Chalamet Bob Dylan Pic \u2018A Complete Unknown\u2019 To Sneak Screen In Imax"", ""url"": ""http://deadline.com/2024/12/timothee-chalamet-a-complete-unknown-imax-sneaks-1236193955/"", ""description"": ""Searchlight Pictures\u2019 James Mangold directed Bob Dylan biopic A Complete Unknown starring Oscar nominee Timoth\u00e9e Chalamet will sneak screen in Imax at 30-plus theaters on Dec. 18. The movie opens wide on Dec. 25. The exclusive \u2018A Complete Unknown: IMAX Early \u2026"", ""publishedAt"": ""2024-12-04""}, {""title"": ""Timoth\u00e9e Chalamet's 'A Complete Unknown' to Play Early In Imax Cinemas"", ""url"": ""http://www.hollywoodreporter.com/movies/movie-news/timothee-chalamet-complete-unknown-screen-early-imax-1236076759/"", ""description"": ""Timoth\u00e9e Chalamet's 'A Complete Unknown' to Play Early In Imax Cinemashollywoodreporter.com"", ""publishedAt"": ""2024-12-04""}, {""title"": ""Oscar Isaac Initially Thought Timothee Chalamet Playing Bob Dylan in 'A Complete Unknown' Was 'Really Bad Idea'"", ""url"": ""https://www.justjared.com/2024/12/04/oscar-isaac-initially-thought-timothee-chalamet-playing-bob-dylan-in-a-complete-unknown-was-really-bad-idea/"", ""description"": ""Oscar Isaac initially wasn\u2019t sold on the idea of Timothee Chalamet playing Bob Dylan! If you didn\u2019t know, Timothee, 28, will be playing a younger version of the 83-year-old folk music icon in the upcoming movie A Complete Unknown directed by James Mangold. Wh\u2026"", ""publishedAt"": ""2024-12-04""}]",2024-12-05 11:45:26.958271
Conclave,"[{""title"": ""It\u2019s Opposite Week as \u2018Conclave\u2019 and \u2018Terrifier 3\u2019 See Split VOD Results"", ""url"": ""https://www.indiewire.com/news/box-office/vod-charts-conclave-terrifier-3-itunes-fandango-1235071669/"", ""description"": ""iTunes and Fandango VOD's top 10s yield wildly different first week results, when they're usually quite aligned. Plus, Lindsay Lohan leads Netflix."", ""publishedAt"": ""2024-12-02""}, {""title"": ""\u2018Conclave\u2019: 6 Ways Edward Berger Turned Pope Drama Into a Paranoid \u201870s Thriller"", ""url"": ""https://www.indiewire.com/features/interviews/conclave-edward-berger-70s-thriller-1235071173/"", ""description"": ""Berger storyboarded edits so razor sharp they almost hurt, pulling us into the story of a cardinal with the weight of the Church on his shoulders."", ""publishedAt"": ""2024-12-01""}]",2024-12-05 11:45:27.117584
Sing Sing,"[{""title"": ""Film Independent Spirit Awards 40th Edition Best Feature Nominees Include \u2018Anora\u2019, \u2018I Saw The TV Glow\u2019, \u2018Nickel Boys\u2019, \u2018Sing Sing\u2019 & \u2018The Substance\u2019"", ""url"": ""http://deadline.com/2024/12/spirit-awards-nominations-2025-list-1236193844/"", ""description"": ""Refresh for more\u2026The 40th edition of the Film Independent Spirit Awards unveiled nominations this morning, nominating NEON\u2019s Cannes Film Festival Palme d\u2019Or winner Anora, A24\u2019s I Saw the TV Glow, Amazon MGM Studios\u2019 Nickel Boys, A24\u2019s Sing Sing and Mubi\u2019s Dem\u2026"", ""publishedAt"": ""2024-12-04""}]",2024-12-05 11:45:27.492262
Emilia Perez,"[{""title"": ""'Emilia Perez' director Jacques Audiard to receive Variety award during Palm Springs Film Festival"", ""url"": ""https://kesq.com/entertainment/film-festival/2024/12/03/emilia-perez-director-jacques-audiard-to-receive-variety-award-during-palm-springs-film-festival/"", ""description"": ""\""Emilia P\u00e9rez\"" director Jacques Audiard will be given the Creative Impact in Directing Award at Variety's Creative Impact Awards during the 2025 Palm Springs International Film Festival, the entertainment publication announced today. Check Out Our Film Festiv\u2026"", ""publishedAt"": ""2024-12-03""}, {""title"": ""\u2018Emilia Perez\u2019 Will Captivate Audiences From Beginning to End"", ""url"": ""https://dailyutahchronicle.com/2024/11/27/emilia-perez-captivate-beginning-end/"", ""description"": ""\u201cEmilia P\u00e9rez\u201d received a nine-minute standing ovation at the Cannes Film Festival, and is now predicted to be an Oscar contender. For that reason, the Spanish musical has sparked interest and steadily built up anticipation, and now it\u2019s finally streaming on \u2026"", ""publishedAt"": ""2024-11-27""}]",2024-12-05 11:45:27.719526
The Brutalist,"[{""title"": ""17 Must-Watch December Films: \u2018Nosferatu,\u2019 \u2018The Brutalist,\u2019 \u2018A Complete Unknown\u2019 & More"", ""url"": ""https://theplaylist.net/17-must-watch-december-films-nosferatu-the-brutalist-a-complete-unknown-more-20241203/"", ""description"": ""As was also the case in November, December is poised to overwhelm with new, highly-anticipated releases. As awards season officially befalls us, so too does a barrage of must-see films that have either garnered buzz throughout the long festival season or have\u2026"", ""publishedAt"": ""2024-12-03""}, {""title"": ""\u2018The Brutalist\u2019 Wins Best Film From New York Film Critics Circle"", ""url"": ""https://theplaylist.net/the-brutalist-wins-best-film-from-new-york-film-critics-circle-20241203/"", ""description"": ""Less than 12 hours after a surprise Best Feature win for \u201cA Different Man\u201d at the 2024 Gotham Awards, the first major critics group began voting for their own annual honors. The New York Film Critics Circle had many candidates to choose from for their own Bes\u2026"", ""publishedAt"": ""2024-12-03""}]",2024-12-05 11:45:28.136495
Wicked,"[{""title"": ""British Film Censors Slap \u201cWicked\u201d With A Trigger Warning Label"", ""url"": ""https://www.thedailybeast.com/obsessed/wicked-movie-slapped-with-green-skin-trigger-warning-in-uk/"", ""description"": ""Regulators\u00a0also cited\u00a0a disabled woman in a wheelchair being \u201ctreated in a condescending manner by able-bodied people,\u201d and talking animals being \u201cpersecuted in a fantastical society,\u201d as additional reasons for the content warning and PG rating. \u2013 The Daily B\u2026"", ""publishedAt"": ""2024-12-04""}, {""title"": ""Mom Sues Mattel Over \u201cWicked\u201d Dolls That Contained a Porn Site Link, Says She and Her Daughter Were 'Horrified'"", ""url"": ""https://people.com/mom-sues-mattel-over-wicked-dolls-with-accidental-porn-site-link-8755966"", ""description"": ""A mom has sued Mattel over 'Wicked' dolls that accidentally contained a porn site link, saying in court documents that it caused \""emotional distress\"" to her and her daughter"", ""publishedAt"": ""2024-12-04""}, {""title"": ""\u2018Wicked\u2019s Ariana Grande Set For Palm Springs Film Festival\u2019s Rising Star Award"", ""url"": ""http://deadline.com/2024/12/wicked-ariana-grande-palm-springs-film-festival-award-1236193105/"", ""description"": ""In the desert, something Wicked this way comes. The Palm Springs Film Festival said today that Ariana Grande will receive its 2025 Rising Star Award for role as Glinda in Jon M. Chu\u2019s smash movie that has become the top-grossing adaptation of Broadway musical\u2026"", ""publishedAt"": ""2024-12-04""}]",2024-12-05 11:45:28.304537
Nosferatu,"[{""title"": ""17 Must-Watch December Films: \u2018Nosferatu,\u2019 \u2018The Brutalist,\u2019 \u2018A Complete Unknown\u2019 & More"", ""url"": ""https://theplaylist.net/17-must-watch-december-films-nosferatu-the-brutalist-a-complete-unknown-more-20241203/"", ""description"": ""As was also the case in November, December is poised to overwhelm with new, highly-anticipated releases. As awards season officially befalls us, so too does a barrage of must-see films that have either garnered buzz throughout the long festival season or have\u2026"", ""publishedAt"": ""2024-12-03""}, {""title"": ""NOSFERATU Director Explains How Bill Skarsg\u00e5rd Stopped Him From Changing the Film's Ending"", ""url"": ""https://geektyrant.com/news/nosferatu-director-explains-how-bill-skarsgrd-stopped-him-from-changing-the-films-ending"", ""description"": ""Director Robert Eggers embarked on a dark journey to remake one of the most iconic vampire movies of all time, Nosferatu. While this film will retell the dark gothic tale of Count Orok, he initially planned to change up century-old ending, but Bill Skarsg\u00e5rd \u2026"", ""publishedAt"": ""2024-12-03""}, {""title"": ""Nosferatu Called \""One of the Year's Finest Films\"" in First Reviews"", ""url"": ""https://www.newsweek.com/entertainment/nosferatu-called-one-years-finest-films-first-reviews-1994715"", ""description"": ""Robert Eggers' Nosferatu debuts to universal praise from critics."", ""publishedAt"": ""2024-12-03""}]",2024-12-05 11:45:28.756226
