,Unnamed: 0,Movie Name,Experts Vote,Experts Odds,Star24 Vote,Star24 Odds,Users Vote,Users Odds,Date,pct_vote_expert,pct_vote_star24,pct_vote_user,imp_prob_expert,imp_prob_star24,imp_prob_user
0,0,Sing Sing,9,8/1,14,7/1,1045,15/2,2024-08-04,60,58,47,11,12,12
1,1,Dune: Part Two,2,8/1,2,15/2,434,15/2,2024-08-04,13,8,19,11,12,12
2,2,Blitz,1,9/1,3,17/2,179,19/2,2024-08-04,7,12,8,10,11,10
3,3,Conclave,1,9/1,2,8/1,52,21/2,2024-08-04,7,8,2,10,11,9
4,4,Emilia Perez,0,10/1,0,15/1,151,12/1,2024-08-04,0,0,7,9,6,8
5,5,Anora,1,10/1,3,17/2,224,17/2,2024-08-04,7,12,10,9,11,11
6,6,Joker: Folie à Deux,0,14/1,0,12/1,41,14/1,2024-08-04,0,0,2,7,8,7
7,7,Gladiator II,1,15/1,0,20/1,9,20/1,2024-08-04,7,0,0,6,5,5
8,8,Nickel Boys,0,22/1,0,13/1,14,18/1,2024-08-04,0,0,1,4,7,5
9,9,Wicked,0,28/1,0,100/1,15,95/1,2024-08-04,0,0,1,3,1,1
10,10,The Piano Lesson,0,33/1,0,60/1,8,30/1,2024-08-04,0,0,0,3,2,3
11,11,A Real Pain,0,35/1,0,35/1,3,30/1,2024-08-04,0,0,0,3,3,3
12,12,A Complete Unknown,0,46/1,0,44/1,4,70/1,2024-08-04,0,0,0,2,2,1
13,13,Hard Truths,0,58/1,0,100/1,4,95/1,2024-08-04,0,0,0,2,1,1
14,16,The Room Next Door,0,82/1,0,44/1,7,54/1,2024-08-04,0,0,0,1,2,2
15,20,Nosferatu,0,100/1,0,100/1,3,100/1,2024-08-04,0,0,0,1,1,1
16,23,Civil War,0,100/1,0,100/1,19,100/1,2024-08-04,0,0,1,1,1,1
17,31,Challengers,0,100/1,0,100/1,11,78/1,2024-08-04,0,0,0,1,1,1
18,59,Unstoppable,0,100/1,0,100/1,0,100/1,2024-08-04,0,0,0,1,1,1
19,62,The Wild Robot,0,100/1,0,100/1,1,100/1,2024-08-04,0,0,0,1,1,1
20,64,Young Woman and the Sea,0,100/1,0,100/1,1,100/1,2024-08-04,0,0,0,1,1,1
21,79,Saturday Night,0,100/1,0,100/1,1,100/1,2024-08-04,0,0,0,1,1,1
22,80,Sing Sing,7,8/1,14,7/1,1104,15/2,2024-08-11,41,58,47,11,12,12
23,81,Dune: Part Two,3,17/2,2,15/2,455,15/2,2024-08-11,18,8,19,11,12,12
24,82,Blitz,2,9/1,3,17/2,182,19/2,2024-08-11,12,12,8,10,11,10
25,83,Emilia Perez,1,19/2,0,15/1,154,12/1,2024-08-11,6,0,7,10,6,8
26,84,Conclave,1,19/2,2,8/1,57,10/1,2024-08-11,6,8,2,10,11,9
27,85,Anora,1,11/1,3,8/1,241,17/2,2024-08-11,6,12,10,8,11,11
28,86,Gladiator II,2,14/1,0,20/1,10,22/1,2024-08-11,12,0,0,7,5,4
29,87,Joker: Folie à Deux,0,16/1,0,23/2,43,14/1,2024-08-11,0,0,2,6,8,7
30,88,Nickel Boys,0,20/1,0,14/1,16,18/1,2024-08-11,0,0,1,5,7,5
31,89,Wicked,0,28/1,0,100/1,15,97/1,2024-08-11,0,0,1,3,1,1
32,90,The Piano Lesson,0,30/1,0,60/1,7,30/1,2024-08-11,0,0,0,3,2,3
33,91,A Complete Unknown,0,30/1,0,35/1,5,60/1,2024-08-11,0,0,0,3,3,2
34,92,A Real Pain,0,40/1,0,46/1,5,30/1,2024-08-11,0,0,0,2,2,3
35,93,Hard Truths,0,54/1,0,100/1,4,100/1,2024-08-11,0,0,0,2,1,1
36,94,The Room Next Door,0,66/1,0,44/1,7,52/1,2024-08-11,0,0,0,1,2,2
37,100,Nosferatu,0,100/1,0,100/1,3,100/1,2024-08-11,0,0,0,1,1,1
38,102,Saturday Night,0,100/1,0,70/1,3,100/1,2024-08-11,0,0,0,1,1,1
39,103,Civil War,0,100/1,0,100/1,20,100/1,2024-08-11,0,0,1,1,1,1
40,111,Challengers,0,100/1,0,100/1,13,78/1,2024-08-11,0,0,1,1,1,1
41,140,Unstoppable,0,100/1,0,100/1,0,100/1,2024-08-11,0,0,0,1,1,1
